indicatorId,geoUnit,year,value
200101,BDI,2016,11114.903
200101,BDI,2017,11363.999
200101,BDI,2018,11649.525
200101,BDI,2019,12069.367
200101,BDI,2020,12441.306
200101,BDI,2021,12792.766
200101,BDI,2022,13138.197
200101,BDI,2023,13503.998
200101,BEL,2000,10239.426
200101,BEL,2001,10264.008
200101,BEL,2002,10310.001
200101,BEL,2003,10355.945
200101,BEL,2004,10396.575
200101,BEL,2005,10446.009
200101,BEL,2006,10511.762
200101,BEL,2007,10585.123
200101,BEL,2008,10665.862
200101,BEL,2009,10753.553
200101,BEL,2010,10872.318
200101,BEL,2011,11000.933
200101,BEL,2012,11076.33
200101,BEL,2013,11138.706
200101,BEL,2014,11181.846
200101,BEL,2015,11238.392
200101,BEL,2016,11312.277
200101,BEL,2017,11353.124
200101,BEL,2018,11400.037
200101,BEL,2019,11457.173
200101,BEL,2020,11524.063
200101,BEL,2021,11556.151
200101,BEL,2022,11585.536
200101,BEL,2023,11698.104
200101,BEN,2000,7110.952
200101,BEN,2001,7332.286
200101,BEN,2002,7558.906
200101,BEN,2003,7791.947
200101,BEN,2004,8034.193
200101,BEN,2005,8283.995
200101,BEN,2006,8568.292
200101,BEN,2007,8818.192
200101,BEN,2008,9089.746
200101,BEN,2009,9367.186
200101,BEN,2010,9651.66
200101,BEN,2011,9943.308
200101,BEN,2012,10243.939
200101,BEN,2013,10551.375
200101,BEN,2014,10866.292
200101,BEN,2015,11193.715
200101,BEN,2016,11527.647
200101,BEN,2017,11868.036
200101,BEN,2018,12211.524
200101,BEN,2019,12555.171
200101,BEN,2020,12898.339
200101,BEN,2021,13241.999
200101,BEN,2022,13584.835
200101,BEN,2023,13934.166
200101,BFA,2000,11745.28
200101,BFA,2001,12105.811
200101,BFA,2002,12484.191
200101,BFA,2003,12877.602
200101,BFA,2004,13287.462
200101,BFA,2005,13713.605
200101,BFA,2006,14150.642
200101,BFA,2007,14596.772
200101,BFA,2008,15035.841
200101,BFA,2009,15480.345
200101,BFA,2010,15939.786
200101,BFA,2011,16413.21
200101,BFA,2012,16910.606
200101,BFA,2013,17433.968
200101,BFA,2014,17956.85
200101,BFA,2015,18502.072
200101,BFA,2016,19052.902
200101,BFA,2017,19616.809
200101,BFA,2018,20172.005
200101,BFA,2019,20704.571
200101,BFA,2020,21219.334
200101,BFA,2021,21738.045
200101,BFA,2022,22252.441
200101,BFA,2023,22765.636
